t_s,pos_deg,vel_rps,tau_cmd,rotor_phase,e1_deg,fault
16.0817,-0.231,-0.00021864965674467385,-1.324,0.2876,203.171,0
16.083,-0.231,-0.00017879884399008006,-1.314,0.2876,203.194,0
16.0842,-0.231,-0.00013019429752603173,-1.301,0.2876,203.217,0
16.0854,-0.231,-8.899674867279828e-05,-1.29,0.2876,203.17,0
16.0867,-0.231,-5.6246826716233045e-05,-1.282,0.2876,203.187,0
16.0879,-0.231,-3.531136462697759e-05,-1.276,0.2876,203.209,0
16.0892,-0.231,-2.1170746549614705e-05,-1.272,0.2876,203.164,0
16.0904,-0.231,-1.2906751180707943e-05,-1.27,0.2876,203.218,0
16.0917,-0.231,-8.07078140496742e-06,-1.269,0.2876,203.211,0
16.093,-0.231,-4.3978939174849074e-06,-1.268,0.2876,203.21,0
16.0942,-0.231,-1.7044424112100387e-06,-1.267,0.2876,203.211,0
16.0954,-0.231,-5.1642743414959114e-08,-1.267,0.2876,203.172,0
16.0967,-0.231,1.4175125215842854e-06,-1.267,0.2876,203.173,0
16.098,-0.231,2.213305151599343e-06,-1.266,0.2876,203.203,0
16.0992,-0.231,2.947881512227468e-06,-1.266,0.2876,203.207,0
16.1005,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.186,0
16.1018,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.213,0
16.1031,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.205,0
16.1044,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.207,0
16.1056,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.212,0
16.1068,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.185,0
16.1081,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.21,0
16.1093,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.181,0
16.1105,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.189,0
16.1117,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.209,0
16.113,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.179,0
16.1143,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.204,0
16.1155,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.197,0
16.1168,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.206,0
16.1181,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.229,0
16.1193,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.221,0
16.1206,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.176,0
16.1218,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.218,0
16.1231,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.225,0
16.1244,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.158,0
16.1257,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.231,0
16.127,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.215,0
16.1282,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.192,0
16.1295,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.185,0
16.1307,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.183,0
16.132,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.218,0
16.1333,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.188,0
16.1344,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.154,0
16.1357,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.222,0
16.137,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.198,0
16.1383,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.192,0
16.1396,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.234,0
16.1408,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.182,0
16.1422,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.214,0
16.1435,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.219,0
16.1447,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.182,0
16.1459,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.202,0
16.1472,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.195,0
16.1484,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.197,0
16.1498,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.195,0
16.1511,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.207,0
16.1523,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.202,0
16.1537,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.19,0
16.155,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.207,0
16.1562,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.187,0
16.1574,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.174,0
16.1587,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.186,0
16.1599,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.207,0
16.1613,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.194,0
16.1626,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.182,0
16.164,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.185,0
16.1652,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.233,0
16.1665,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.22,0
16.1678,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.173,0
16.169,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.226,0
16.1703,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.2,0
16.1716,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.214,0
16.1728,-0.231,3.5600282899395097e-06,-1.266,0.2876,203.193,0
