t_s,K,D,phase,theta_d,theta,omega,tau_cmd,tau_meas,q_current_A,fet,fault
0.1664,400,28.28,step,10.216534423828126,10.183639526367188,6.017960185999982e-05,13.156256848192712,11.055671691894531,2.1637635231018066,33.0,0
0.1677,400,28.28,step,10.216534423828126,10.183639526367188,3.6734338209498674e-05,13.15691998038927,11.81970500946045,2.313296318054199,33.0,0
0.169,400,28.28,step,10.216534423828126,10.183639526367188,2.263453097839374e-05,13.157318783161532,11.487438201904297,2.2482666969299316,33.0,0
0.1702,400,28.28,step,10.216534423828126,10.183639526367188,9.835724631557241e-05,13.155177021341341,11.31058406829834,2.213653802871704,33.0,0
0.1714,400,28.28,step,10.216534423828126,10.183639526367188,0.00023466219136025757,13.151321735303327,10.54559326171875,2.0639333724975586,33.0,0
0.1728,400,28.28,step,10.216534423828126,10.183639526367188,0.00021066599583718926,13.152000450206408,11.096332550048828,2.1717214584350586,33.0,0
0.174,400,28.28,step,10.216534423828126,10.183639526367188,0.00015863344015087932,13.153472153125138,11.526116371154785,2.2558367252349854,33.0,0
0.1752,400,28.28,step,10.216534423828126,10.183639526367188,0.00026886086561717093,13.150354450724342,11.699237823486328,2.2897191047668457,33.0,0
0.1764,400,28.28,step,10.216534423828126,10.183639526367188,0.0003023454046342522,13.149407364940185,11.014158248901367,2.1556386947631836,33.0,0
0.1777,400,28.28,step,10.216534423828126,10.183639526367188,0.00024510957882739604,13.151026238562379,10.669953346252441,2.0882725715637207,33.0,0
0.1789,400,28.28,step,10.216534423828126,10.183639526367188,0.0001722027373034507,13.153088355443838,11.400015830993652,2.231156826019287,33.0,0
0.1801,400,28.28,step,10.216534423828126,10.183639526367188,0.00011578309931792319,13.154684143788304,11.228065490722656,2.1975035667419434,33.0,0
0.1813,400,28.28,step,10.216534423828126,10.183639526367188,7.605469727423042e-05,13.155807832687936,11.697958946228027,2.289469003677368,33.0,0
0.1825,400,28.28,step,10.216534423828126,10.183639526367188,0.0002448851300869137,13.151032586931436,11.78137493133545,2.3057947158813477,33.0,0
0.1838,400,28.28,step,10.216534423828126,10.183639526367188,0.0002546795003581792,13.150755560305985,11.78127670288086,2.3057754039764404,33.0,0
0.185,400,28.28,step,10.216534423828126,10.183639526367188,0.00019579088257160038,13.152421181944849,11.31187915802002,2.213907241821289,33.0,0
0.1863,400,28.28,step,10.216534423828126,10.183639526367188,0.0001373103295918554,13.15407526176803,11.481634140014648,2.247130870819092,33.0,0
0.1875,400,28.28,step,10.216534423828126,10.183639526367188,8.93791439011693e-05,13.155430960425317,11.481725692749023,2.2471487522125244,33.0,0
0.1889,400,28.28,step,10.216534423828126,10.183639526367188,5.748623516410589e-05,13.156333028106907,12.037591934204102,2.355940341949463,33.0,0
0.1902,400,28.28,step,10.216534423828126,10.183639526367188,0.00023776385933160782,13.151234006885106,11.187946319580078,2.1896517276763916,33.0,0
0.1913,400,28.28,step,10.216534423828126,10.183639526367188,0.0003531537367962301,13.147970288291685,11.780450820922852,2.3056137561798096,33.0,0
0.1925,400,28.28,step,10.216534423828126,10.183639526367188,0.00042195915011689067,13.14602417731803,11.311251640319824,2.2137844562530518,33.0,0
0.1938,400,28.28,step,10.216534423828126,10.183639526367188,0.0003512560506351292,13.148023962961808,10.935338973999023,2.1402125358581543,33.0,0
0.195,400,28.28,step,10.216534423828126,10.183639526367188,0.0002542510046623647,13.150767679994475,11.779658317565918,2.3054587841033936,33.0,0
0.1962,400,28.28,step,10.216534423828126,10.183639526367188,0.0001738760038278997,13.153041028319592,11.100052833557129,2.1724495887756348,33.0,0
0.1974,400,28.28,step,10.216534423828126,10.183639526367188,0.00011308971443213522,13.154760324216987,11.146211624145508,2.181483507156372,33.0,0
0.1987,400,28.28,step,10.216534423828126,10.183639526367188,6.74234761390835e-05,13.15605196048772,10.888786315917969,2.131101369857788,33.0,0
0.2,400,28.28,step,10.216534423828126,10.183639526367188,4.2039733671117574e-05,13.15676992114496,11.357331275939941,2.2228028774261475,33.0,0
0.2013,400,28.28,step,10.216534423828126,10.183639526367188,0.0002095846284646541,13.152031035894492,11.404802322387695,2.2320938110351562,33.0,0
0.2025,400,28.28,step,10.216534423828126,10.183639526367188,0.00024321197997778654,13.15107991076296,11.100164413452148,2.172471523284912,33.0,0
0.2037,400,28.28,step,10.216534423828126,10.183639526367188,0.00019987190898973495,13.15230575308667,11.568278312683105,2.2640883922576904,33.0,0
0.2049,400,28.28,step,10.216534423828126,10.183639526367188,0.0003408495686016977,13.148318302722373,11.100055694580078,2.172450065612793,33.0,0
0.2062,400,28.28,step,10.216534423828126,10.183639526367188,0.0003191795840393752,13.148931222443663,11.309234619140625,2.2133896350860596,33.0,0
0.2075,400,28.28,step,10.216534423828126,10.183639526367188,0.0002374578471062705,13.151242662217893,11.567584037780762,2.2639524936676025,33.0,0
0.2087,400,28.28,step,10.216534423828126,10.183639526367188,0.0001638980902498588,13.153323246333716,11.309235572814941,2.2133898735046387,33.0,0
0.2099,400,28.28,step,10.216534423828126,10.183639526367188,0.00010898842447204515,13.154876326214684,10.632306098937988,2.080904483795166,33.0,0
0.2112,400,28.28,step,10.216534423828126,10.183639526367188,6.96681163390167e-05,13.155988472475451,11.1489896774292,2.1820273399353027,33.0,0
0.2124,400,28.28,step,10.216534423828126,10.183639526367188,0.00023696817515883595,13.151256512232075,11.258444786071777,2.203449249267578,33.0,0
0.2136,400,28.28,step,10.216534423828126,10.183639526367188,0.0002556591061875224,13.150727852868993,11.35834789276123,2.2230019569396973,33.0,0
0.2148,400,28.28,step,10.216534423828126,10.183639526367188,0.00020778912585228682,13.152081820377406,11.099451065063477,2.1723318099975586,33.0,0
0.216,400,28.28,step,10.216534423828126,10.183639526367188,0.00015012473159004003,13.153712815746038,11.358330726623535,2.2229983806610107,33.0,0
0.2172,400,28.28,step,10.216534423828126,10.183639526367188,0.00010117329657077789,13.155097371412076,11.358345985412598,2.223001480102539,33.0,0
0.2184,400,28.28,step,10.216534423828126,10.183639526367188,6.426077015930787e-05,13.156141415321528,10.840673446655273,2.121685028076172,33.0,0
0.2197,400,28.28,step,10.216534423828126,10.183639526367188,4.044821980642155e-05,13.156814935954802,11.825600624084473,2.314450263977051,33.0,0
0.2209,400,28.28,step,10.216534423828126,10.183639526367188,2.5389377697138116e-05,13.157240864329694,11.257612228393555,2.2032864093780518,33.0,0
0.2221,400,28.28,step,10.216534423828126,10.183639526367188,0.00017973229114431888,13.15287538750063,11.358214378356934,2.222975730895996,33.0,0
0.2233,400,28.28,step,10.216534423828126,10.183639526367188,0.00023898822837509215,13.151199376498973,11.150556564331055,2.1823339462280273,33.0,0
0.2245,400,28.28,step,10.216534423828126,10.183639526367188,0.00020030050654895604,13.15229363051705,11.35799503326416,2.222932815551758,33.0,0
0.2258,400,28.28,step,10.216534423828126,10.183639526367188,0.0001456152822356671,13.153840362234755,11.254531860351562,2.202683448791504,33.0,0
0.227,400,28.28,step,10.216534423828126,10.183639526367188,9.982661867979914e-05,13.155135461214828,11.565433502197266,2.2635316848754883,33.0,0
0.2282,400,28.28,step,10.216534423828126,10.183639526367188,6.521986506413668e-05,13.156114288021087,11.306158065795898,2.212787389755249,33.0,0
0.2294,400,28.28,step,10.216534423828126,10.183639526367188,4.0244227420771495e-05,13.156820705730771,11.046891212463379,2.1620450019836426,33.0,0
0.2307,400,28.28,step,10.216534423828126,10.183639526367188,2.4920123905758373e-05,13.157254136831213,10.89126205444336,2.1315860748291016,33.0,0
0.232,400,28.28,step,10.216534423828126,10.183639526367188,1.4574826309399214e-05,13.157546746034564,11.046956062316895,2.162057638168335,33.0,0
0.2332,400,28.28,step,10.216534423828126,10.183639526367188,8.453346708847675e-06,13.157719887624022,10.839484214782715,2.1214523315429688,33.0,0
0.2344,400,28.28,step,10.216534423828126,10.183639526367188,5.147747287992388e-06,13.157813384094677,11.461620330810547,2.2432138919830322,33.0,0
0.2356,400,28.28,step,10.216534423828126,10.183639526367188,2.8215861220814986e-06,13.15787917786806,11.098774909973145,2.1721994876861572,33.0,0
0.2369,400,28.28,step,10.216534423828126,10.183639526367188,1.06676168343256e-06,13.157928811798474,11.617348670959473,2.2736923694610596,33.0,0
0.2382,400,28.28,step,10.216534423828126,10.183639526367188,0.00014381967775989324,13.1538911495988,11.669822692871094,2.2839622497558594,33.0,0
0.2393,400,28.28,step,10.216534423828126,10.183639526367188,0.00022860219178255647,13.151493137975143,11.617197036743164,2.273662567138672,33.0,0
0.2407,400,28.28,step,10.216534423828126,10.183639526367188,0.00019395463459659368,13.152473118880652,11.150908470153809,2.1824028491973877,33.0,0
0.2419,400,28.28,step,10.216534423828126,10.183639526367188,0.0001419220498064533,13.153944822622563,11.211463928222656,2.1942543983459473,33.0,0
0.2431,400,28.28,step,10.216534423828126,10.183639526367188,9.754132042871788e-05,13.155200099210443,11.097553253173828,2.1719603538513184,33.0,0
0.2444,400,28.28,step,10.216534423828126,10.183639526367188,0.00022725548478774726,13.151531228601074,11.24850845336914,2.2015044689178467,33.0,0
0.2456,400,28.28,step,10.216534423828126,10.183639526367188,0.00026802453794516623,13.150378105643068,11.507185935974121,2.252131700515747,33.0,0
0.247,400,28.28,step,10.216534423828126,10.183639526367188,0.00020931955077685416,13.152038533423715,11.411191940307617,2.233344316482544,33.0,0
0.2483,400,28.28,step,10.216534423828126,10.183639526367188,0.00014388092677108943,13.153889417215154,10.945440292358398,2.1421895027160645,33.0,0
