t_s,kp,kd,dir,setpoint,mode,position_rev_out,velocity_rps_out,torque_Nm_out,q_current_A,d_current_A,bus_voltage_V,power_W,bus_current_A_derived,fet_temp_C,motor_temp_C,fault,orbis_position_rev_out,orbis_velocity_rps_out,encoder_validity
9.561,8000,160,-1,8.222733588622944,10,8.223983764648438,-0.047317612916231155,-9.954788208007812,-1.9483036994934082,0.1094849556684494,23.5,4.846420764923096,0.20623067084779131,39.0,nan,0,0.19983790814876556,-2.436070680618286,nan
9.58,8000,160,-1,8.221779549022907,10,8.2230224609375,-0.045755233615636826,-10.314752578735352,-2.018754243850708,0.030764758586883545,23.5,4.978878021240234,0.21186714984000998,39.0,nan,0,0.1518729329109192,-2.341273307800293,nan
9.601,8000,160,-1,8.22073498652317,10,8.221893310546875,-0.05930642783641815,-7.6840691566467285,-1.5038894414901733,0.006989018991589546,23.5,3.209728240966797,0.1365841804666722,39.0,nan,0,0.09526793658733368,-2.931752920150757,nan
9.621,8000,160,-1,8.21973364697333,10,8.2208251953125,-0.056733448058366776,-7.368777751922607,-1.4403021335601807,-0.11903797835111618,23.5,3.5803050994873047,0.15235340848882148,39.0,nan,0,0.04176213592290878,-3.0634775161743164,nan
9.641,8000,160,-1,8.218734901123392,10,8.219757080078125,-0.05122300982475281,-7.746096611022949,-1.5160292387008667,0.2420496940612793,23.5,3.2676730155944824,0.13904991555721202,39.0,nan,0,0.988198459148407,-2.761075735092163,nan
9.661,8000,160,-1,8.217733874022818,10,8.218612670898438,-0.055875714868307114,-6.122049331665039,-1.1981784105300903,-0.1643049418926239,23.5,2.531403064727783,0.10771927935011844,39.0,nan,0,0.9316921234130859,-2.7539188861846924,nan
9.681,8000,160,-1,8.21673396987317,10,8.217544555664062,-0.052075281739234924,-6.650646686553955,-1.3016330003738403,0.04528626799583435,23.5,2.0572991371154785,0.08754464413257355,39.0,nan,0,0.877842128276825,-2.4714713096618652,nan
9.701,8000,160,-1,8.215747567773363,10,8.216629028320312,-0.048473987728357315,-7.192739009857178,-1.407728672027588,0.014137247577309608,23.5,3.0097904205322266,0.1280761881077543,39.0,nan,0,0.8318891525268555,-2.581756830215454,nan
9.721,8000,160,-1,8.214732517772793,10,8.215652465820312,-0.04476179555058479,-7.946859836578369,-1.5553216934204102,0.20435845851898193,23.5,2.973590850830078,0.1265357808863863,39.0,nan,0,0.7829419374465942,-2.1687228679656982,nan
9.741,8000,160,-1,8.21373543447335,10,8.21466064453125,-0.04915804788470268,-7.69873046875,-1.5067589282989502,0.00799461081624031,23.5,3.010183334350586,0.12809290784470578,39.0,nan,0,0.7339208722114563,-2.474500894546509,nan
