t_s,pos_deg,vel_rps,tau_cmd,rotor_phase,fault
0.2786,0.005,-0.00034402968594804406,-0.421,0.3121,0
0.2796,0.005,-0.0002492079511284828,-0.16,0.3121,0
0.2807,0.005,-0.00017575023230165243,0.121,0.3121,0
0.2817,0.005,-0.00011747374082915485,0.368,0.3121,0
0.2827,0.005,-8.050000906223431e-05,0.592,0.3121,0
0.2837,0.005,-5.448372394312173e-05,0.803,0.3121,0
0.2846,0.005,-3.7955727748339996e-05,0.988,0.3121,0
0.2856,0.005,-2.5223051125067286e-05,1.152,0.3121,0
0.2866,0.005,0.00014293398999143392,1.333,0.3121,0
0.2876,0.005,0.00021737116912845522,1.458,0.3121,0
0.2886,0.005,0.00020751560805365443,1.523,0.3121,0
0.2897,0.005,0.0002968892513308674,1.581,0.3121,0
0.2906,0.005,0.0006546285003423691,1.677,0.3121,0
0.2916,0.011,0.0009494389523752034,1.719,0.3129,0
0.2926,0.011,0.001052402425557375,1.673,0.3129,0
0.2936,0.011,0.0011319202603772283,1.583,0.3129,0
0.2946,0.011,0.0011744644725695252,1.452,0.3129,0
0.2956,0.011,0.0011821163352578878,1.287,0.3129,0
0.2966,0.011,0.0011946042068302631,1.098,0.3129,0
0.2976,0.011,0.0010779289295896888,0.855,0.3129,0
0.2986,0.011,0.0010348949581384659,0.616,0.3129,0
0.2996,0.011,0.0008768383995629847,0.338,0.3129,0
0.3006,0.011,0.0007644479628652334,0.071,0.3129,0
0.3016,0.011,0.000717128801625222,-0.173,0.3129,0
0.3026,0.011,0.0005841091042384505,-0.433,0.3129,0
0.3036,0.011,0.00044337628060020506,-0.682,0.3129,0
0.3046,0.011,0.0003227832494303584,-0.903,0.3129,0
0.3056,0.011,0.00022918579634279013,-1.094,0.3129,0
0.3066,0.011,0.00015964577323757112,-1.249,0.3129,0
0.3076,0.011,5.019372110837139e-05,-1.382,0.3129,0
0.3086,0.011,-0.0002617568534333259,-1.539,0.3129,0
0.3096,0.011,-0.0007442518835887313,-1.707,0.3129,0
0.3106,0.011,-0.0008408488356508315,-1.73,0.3129,0
0.3116,0.011,-0.0007369061349891126,-1.66,0.3129,0
0.3126,0.011,-0.0005813593743368983,-1.54,0.3129,0
0.3136,0.011,-0.0008122003637254238,-1.493,0.3129,0
0.3146,0.011,-0.0007713088998571038,-1.342,0.3129,0
0.3156,0.011,-0.0006319227395579219,-1.134,0.3129,0
0.3166,0.011,-0.00048133436939679086,-0.898,0.3129,0
0.3176,0.011,-0.000351314025465399,-0.653,0.3129,0
0.3186,0.011,-0.0002492689236532897,-0.396,0.3129,0
0.3196,0.011,-0.000173668609932065,-0.142,0.3129,0
0.3206,0.011,-0.00011930987966479734,0.106,0.3129,0
0.3217,0.011,-8.098941907519475e-05,0.366,0.3129,0
0.3226,0.011,-5.4544623708352447e-05,0.591,0.3129,0
0.3236,0.011,-3.642504088929854e-05,0.801,0.3129,0
0.3246,0.011,-2.418208350718487e-05,0.991,0.3129,0
0.3256,0.011,4.382754923426546e-05,1.17,0.3129,0
0.3266,0.011,0.00025918122264556587,1.366,0.3129,0
