t_s,cmd_velocity_rps_out,phase,mode,velocity_rps_out,q_current_A,d_current_A,voltage_q_V,voltage_d_V,bus_voltage_V,fet_temp_C,fault,omega_e_rad_s,vq_corrected_V
3.0023,0.1,ramp,10,0.00021684209059458226,0.4206727147102356,-0.06914281100034714,0.0,0.0,24.0,32.0,0,0.9537213263213888,-0.19868022225611548
3.023,0.10207,ramp,10,8.098610851448029e-05,0.2392999827861786,-0.06825333088636398,0.0,0.0,24.0,32.0,0,0.3561955089726839,-0.11302556472360115
3.0435,0.10411,ramp,10,-0.0003850420762319118,0.27639102935791016,0.06202554702758789,0.0,0.0,24.0,32.0,0,-1.693503501218389,-0.13050831621275663
3.0635,0.10612,ramp,10,-1.1436593467806233e-06,0.28150424361228943,-0.039134204387664795,0.0,0.0,24.0,32.0,0,-0.00503007652287743,-0.13297284410900054
3.0835,0.10812,ramp,10,-1.3100941032462288e-05,0.28150197863578796,-0.03915150463581085,0.0,0.0,24.0,32.0,0,-0.05762094814377525,-0.13297273735065043
3.1036,0.11012,ramp,10,0.00020349737314973027,0.1409791260957718,-0.01785832829773426,0.0,0.0,24.0,32.0,0,0.8950281935168187,-0.06658612856708351
3.1236,0.11212,ramp,10,-6.839833804406226e-05,0.18575696647167206,-0.01884949579834938,0.0,0.0,24.0,32.0,0,-0.30083160284376814,-0.08774774183799662
3.1436,0.11412,ramp,10,-0.00013142918760422617,0.23369839787483215,-0.014050329104065895,0.0,0.0,24.0,32.0,0,-0.5780557583425964,-0.11039474269417701
3.1625,0.11602,ramp,10,1.224187326442916e-05,0.18580955266952515,0.009652379900217056,0.0,0.0,24.0,32.0,0,0.053842570759191126,-0.08777017243904144
3.1835,0.11811,ramp,10,6.578449392691255e-05,0.23994621634483337,0.04025017470121384,0.0,0.0,24.0,32.0,0,0.28933531597727513,-0.11334764177034375
3.2035,0.12011,ramp,10,0.0001942130911629647,0.23746246099472046,-0.04107378423213959,0.0,0.0,24.0,32.0,0,0.8541937885999484,-0.11215254449766987
3.2236,0.12213,ramp,10,1.8771363102132455e-05,0.27820348739624023,0.04529307782649994,0.0,0.0,24.0,32.0,0,0.08256076698733616,-0.13141533943167139
3.2437,0.12414,ramp,10,0.00021369970636442304,0.3267096281051636,0.0007822233601473272,0.0,0.0,24.0,32.0,0,0.9399003986242743,-0.1543265373731254
3.2632,0.12608,ramp,10,6.592721183551475e-05,0.27778738737106323,-0.03550492227077484,0.0,0.0,24.0,32.0,0,0.2899630221237557,-0.13121222372658128
3.2836,0.12812,ramp,10,0.00035575884976424277,0.43021973967552185,-0.0905352234840393,0.0,0.0,24.0,32.0,0,1.56470914441646,-0.20315448568744263
3.3026,0.13003,ramp,10,0.00011357275798218325,0.23987416923046112,0.02993321791291237,0.0,0.0,24.0,32.0,0,0.49951907897466175,-0.1133151558015279
3.3236,0.13212,ramp,10,-1.552920730318874e-05,0.2832352817058563,-0.05521494895219803,0.0,0.0,24.0,32.0,0,-0.068301021011679,-0.1337921978279616
3.3452,0.13429,ramp,10,1.90368591574952e-05,0.14174076914787292,-0.01017764862626791,0.0,0.0,24.0,32.0,0,0.0837284796272547,-0.06695297982369787
3.3635,0.13612,ramp,10,0.0007699995185248554,0.17567269504070282,0.18250977993011475,0.0,0.0,24.0,32.0,0,3.3866347629315086,-0.08327074419088236
3.3835,0.13812,ramp,10,4.033984077977948e-05,0.28419286012649536,0.003240819089114666,0.0,0.0,24.0,32.0,0,0.17742388641703202,-0.1342430293275773
3.4025,0.14002,ramp,10,0.0019403245532885194,0.16050730645656586,-0.004986071027815342,0.0,0.0,24.0,32.0,0,8.533993107067554,-0.07579813066695665
3.4235,0.14212,ramp,10,0.004655263386666775,0.2176884412765503,0.17465130984783173,0.0,0.0,24.0,32.0,0,20.47491775850903,-0.10450105036708017
3.4435,0.14412,ramp,10,0.008805949240922928,0.20446231961250305,0.03352442383766174,0.0,0.0,24.0,32.0,0,38.730587620435315,-0.09718817596045815
3.4635,0.14611,ramp,10,0.02359130047261715,0.19344407320022583,0.009088256396353245,0.0,0.0,24.0,32.0,0,103.75995875476484,-0.09181729370589248
3.4836,0.14812,ramp,10,0.04207667335867882,0.32649627327919006,0.011832842603325844,0.0,0.0,24.0,32.0,0,185.06287507557184,-0.15524969380342135
3.5035,0.15,dwell,10,0.0464487299323082,0.22513262927532196,-0.06424717605113983,0.0,0.0,24.0,32.0,0,204.29218421348207,-0.1002055034092899
3.5246,0.15,dwell,10,0.05037107691168785,0.09141146391630173,0.1059635579586029,0.0,0.0,24.0,32.0,0,221.543567250831,-0.054160191726282676
3.5443,0.15,dwell,10,0.058515314012765884,0.33687862753868103,0.07480810582637787,0.0,0.0,24.0,32.0,0,257.3637928750072,-0.16813515810948326
3.5646,0.15,dwell,10,0.06455901265144348,0.19158944487571716,-0.0282258503139019,0.0,0.0,24.0,32.0,0,283.9453678162995,-0.08675134328010234
3.5846,0.15,dwell,10,0.06714222580194473,0.3230922818183899,-0.04848930239677429,0.0,0.0,24.0,32.0,0,295.30693265507927,-0.14591971015596258
3.6046,0.15,dwell,10,0.07322611659765244,0.2872195839881897,0.038692448288202286,0.0,0.0,24.0,32.0,0,322.0652819357323,-0.1415013053493584
3.6246,0.15,dwell,10,0.0777754932641983,0.23384183645248413,0.030286436900496483,0.0,0.0,24.0,32.0,0,342.07448557537896,-0.11530465964789453
3.6442,0.15,dwell,10,0.08091122657060623,0.21614742279052734,0.08995920419692993,0.0,0.0,24.0,32.0,0,355.8661609820182,-0.11707466631569445
3.6647,0.15,dwell,10,0.08442369103431702,0.44276314973831177,0.20203445851802826,0.0,0.0,24.0,32.0,0,371.31478655928277,-0.24423543827770075
3.6844,0.15,dwell,10,0.08955305069684982,0.23603485524654388,-0.042659856379032135,0.0,0.0,24.0,32.0,0,393.87488864608883,-0.10363521705533316
3.7047,0.15,dwell,10,0.09648825228214264,0.28421035408973694,0.09154404699802399,0.0,0.0,24.0,32.0,0,424.3774983382171,-0.15242263640298434
3.7244,0.15,dwell,10,0.10593739151954651,0.35218435525894165,0.003902314929291606,0.0,0.0,24.0,32.0,0,465.9369833135822,-0.16721003593095177
3.7457,0.15,dwell,10,0.1083250418305397,0.42502352595329285,0.033187612891197205,0.0,0.0,24.0,32.0,0,476.43841786048273,-0.20816218500623496
3.7647,0.15,dwell,10,0.11131039261817932,0.29553118348121643,-0.04573924466967583,0.0,0.0,24.0,32.0,0,489.5686764044548,-0.12912456209876655
3.7847,0.15,dwell,10,0.11218306422233582,0.2688908874988556,-0.055781882256269455,0.0,0.0,24.0,32.0,0,493.406886585315,-0.11414076628339909
3.8047,0.15,dwell,10,0.11068961769342422,0.3700164258480072,-0.06667821854352951,0.0,0.0,24.0,32.0,0,486.83836568405405,-0.15959903276590492
3.8247,0.15,dwell,10,0.1136663481593132,0.334125816822052,-0.029488753527402878,0.0,0.0,24.0,32.0,0,499.9307100727493,-0.15093365920014784
3.8451,0.15,dwell,10,0.11344610899686813,0.2139836847782135,-0.040348660200834274,0.0,0.0,24.0,32.0,0,498.962047644071,-0.09166151011702008
3.8677,0.15,dwell,10,0.11686436086893082,0.2621753215789795,0.19494621455669403,0.0,0.0,24.0,32.0,0,513.9963046012193,-0.17071145941925167
3.8848,0.15,dwell,10,0.12106413394212723,0.38727185130119324,-0.005767063703387976,0.0,0.0,24.0,32.0,0,532.4678713281168,-0.18149732171555832
3.9048,0.15,dwell,10,0.12927336990833282,0.2496662735939026,0.09893566370010376,0.0,0.0,24.0,32.0,0,568.5739768923399,-0.14424542759121
3.9246,0.15,dwell,10,0.1296873241662979,0.1931246519088745,-0.13234519958496094,0.0,0.0,24.0,32.0,0,570.3946428103834,-0.05591557626269677
3.9442,0.15,dwell,10,0.1322278529405594,0.38410723209381104,0.04974491149187088,0.0,0.0,24.0,32.0,0,581.568471957218,-0.19497076715247558
3.9647,0.15,dwell,10,0.1286424845457077,0.602231502532959,-0.06078560650348663,0.0,0.0,24.0,32.0,0,565.7991981436674,-0.2683861195913906
3.9846,0.15,dwell,10,0.13061688840389252,0.36996978521347046,0.06693771481513977,0.0,0.0,24.0,32.0,0,574.4830798621972,-0.1927477941593252
4.0046,0.15,dwell,10,0.12960600852966309,0.29562798142433167,-0.042183976620435715,0.0,0.0,24.0,32.0,0,570.0369979610398,-0.12839666717088208
4.0246,0.15,dwell,10,0.1297149360179901,0.375973641872406,0.04931163787841797,0.0,0.0,24.0,32.0,0,570.5160860769829,-0.19075595434887718
4.044,0.15,dwell,10,0.133037731051445,0.2944546043872833,0.052222397178411484,0.0,0.0,24.0,32.0,0,585.1305019300642,-0.1533829556786401
4.0646,0.15,dwell,10,0.13898690044879913,0.12956026196479797,-0.058379512280225754,0.0,0.0,24.0,32.0,0,611.2963155532286,-0.044507161403728304
4.0846,0.15,dwell,10,0.139710932970047,0.15384656190872192,-0.04790601134300232,0.0,0.0,24.0,32.0,0,614.4807769028259,-0.058902511662755536
4.1046,0.15,dwell,10,0.13656115531921387,0.16143199801445007,-0.061788272112607956,0.0,0.0,24.0,32.0,0,600.6273312432078,-0.0588959277173495
4.1247,0.15,dwell,10,0.13856467604637146,0.06241963058710098,-0.12766295671463013,0.0,0.0,24.0,32.0,0,609.4392756400622,0.0069071867816948365
4.1454,0.15,dwell,10,0.13453935086727142,0.17276595532894135,0.002186326775699854,0.0,0.0,24.0,32.0,0,591.7349708247032,-0.08221372694934402
4.1646,0.15,dwell,10,0.13856293261051178,0.5065212845802307,-0.2579548954963684,0.0,0.0,24.0,32.0,0,609.431607608658,-0.16573035408145825
4.1847,0.15,dwell,10,0.13927064836025238,0.2974967360496521,0.03866303712129593,0.0,0.0,24.0,32.0,0,612.5443040489588,-0.15160461521146631
4.2048,0.15,dwell,10,0.1466509997844696,0.3756132125854492,-0.01651873253285885,0.0,0.0,24.0,32.0,0,645.0047849902833,-0.1724428491982788
4.2247,0.15,dwell,10,0.14604328572750092,0.23395930230617523,0.038154806941747665,0.0,0.0,24.0,32.0,0,642.3319189666847,-0.12197775286592101
4.2448,0.15,dwell,10,0.14516189694404602,0.11068179458379745,-0.13475289940834045,0.0,0.0,24.0,32.0,0,638.4553686288032,-0.012040195181049713
4.2647,0.15,dwell,10,0.14661186933517456,0.197564959526062,-0.1467999517917633,0.0,0.0,24.0,32.0,0,644.8326802854315,-0.049045183256663856
4.2845,0.15,dwell,10,0.14247694611549377,0.11542492359876633,-0.08289206773042679,0.0,0.0,24.0,32.0,0,626.6463381112817,-0.030226038862022468
